region_name,constituencies
NAIROBI,KAMUKUNJI
NAIROBI,WESTLANDS
NAIROBI,DAGORETTI NORTH
NAIROBI,ROYSAMBU
NAIROBI,STAREHE
NAIROBI,LANGATA
NAIROBI,DAGORETTI SOUTH
NAIROBI,KASARANI
NAIROBI,RUARAKA
NAIROBI,KIBRA
NAIROBI,MATHARE
MOMBASA,KISAUNI
MOMBASA,MVITA
MOMBASA,JOMVU
MOMBASA,NYALI
MOMBASA,LIKONI
KWALE,KINANGO
KWALE,MATUGA
KWALE,LUNGA LUNGA
KWALE,MSAMBWENI
KILIFI,KALOLENI
KILIFI,GANZE
KILIFI,MAGARINI
KILIFI,RABAI
KILIFI,MALINDI
TANA RIVER,GALOLE
TANA RIVER,BURA
TANA RIVER,GARSEN
LAMU,LAMU WEST
LAMU,LAMU EAST
TAITA TAVETA,WUNDANYI
TAITA TAVETA,VOI
TAITA TAVETA,MWATATE
TAITA TAVETA,TAVETA
GARISSA,BALAMBALA
GARISSA,IJARA
GARISSA,DADAAB
GARISSA,FAFI
GARISSA,LAGDERA
WAJIR,WAJIR WEST
WAJIR,WAJIR NORTH
WAJIR,WAJIR SOUTH
WAJIR,TARBAJ
WAJIR,ELDAS
WAJIR,WAJIR EAST
MANDERA,MANDERA SOUTH
MANDERA,MANDERA NORTH
MANDERA,MANDERA WEST
MANDERA,BANISSA
MARSABIT,NORTH HORR
MARSABIT,MOYALE
MARSABIT,LAISAMIS
MARSABIT,SAKU
ISIOLO,ISIOLO NORTH
ISIOLO,ISIOLO SOUTH
MERU,NORTH IMENTI
MERU,TIGANIA WEST
MERU,SOUTH IMENTI
MERU,BUURI
MERU,IGEMBE SOUTH
MERU,IGEMBE CENTRAL
MERU,TIGANIA EAST
MERU,CENTRAL IMENTI
MERU,IGEMBE NORTH
THARAKA - NITHI,MAARA
THARAKA - NITHI,THARAKA
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE
EMBU,RUNYENJES
EMBU,MBEERE NORTH
EMBU,MANYATTA
EMBU,MBEERE SOUTH
KITUI,KITUI EAST
KITUI,KITUI WEST
KITUI,KITUI RURAL
KITUI,KITUI SOUTH
KITUI,KITUI CENTRAL
MACHAKOS,YATTA
MACHAKOS,MACHAKOS TOWN
MACHAKOS,MATUNGULU
MACHAKOS,MWALA
MACHAKOS,MASINGA
MACHAKOS,KANGUNDO
MACHAKOS,MAVOKO
MACHAKOS,KATHIANI
NYANDARUA,KIPIPIRI
NYANDARUA,KINANGOP
NYANDARUA,NDARAGWA
NYERI,KIENI
NYERI,MATHIRA
NYERI,OTHAYA
NYERI,TETU
NYERI,MUKURWEINI
NYERI,NYERI TOWN
KIRINYAGA,GICHUGU
KIRINYAGA,KIRINYAGA CENTRAL
KIRINYAGA,NDIA
KIRINYAGA,MWEA
MURANG'A,MATHIOYA
MURANG'A,KANDARA
MURANG'A,MARAGWA
MURANG'A,KANGEMA
MURANG'A,KIGUMO
MURANG'A,KIHARU
KIAMBU,GATUNDU NORTH
KIAMBU,KABETE
KIAMBU,KIAMBAA
KIAMBU,GITHUNGURI
KIAMBU,THIKA TOWN
MURANG'A,GATANGA
KIAMBU,KIKUYU
KIAMBU,LIMURU
KIAMBU,GATUNDU SOUTH
KIAMBU,LARI
KIAMBU,JUJA
KIAMBU,RUIRU
KIAMBU,KIAMBU
TURKANA,TURKANA NORTH
TURKANA,TURKANA EAST
TURKANA,TURKANA CENTRAL
TURKANA,TURKANA WEST
TURKANA,LOIMA
TURKANA,TURKANA SOUTH
WEST POKOT,KAPENGURIA
WEST POKOT,SIGOR
WEST POKOT,KACHELIBA
WEST POKOT,POKOT SOUTH
WEST POKOT,MARAKWET WEST
SAMBURU,SAMBURU NORTH
SAMBURU,SAMBURU WEST
SAMBURU,SAMBURU EAST
UASIN GISHU,AINABKOI
UASIN GISHU,MOIBEN
UASIN GISHU,SOY
UASIN GISHU,TURBO
UASIN GISHU,KESSES
UASIN GISHU,KAPSERET
ELEGEYO-MARAKWET,MARAKWET EAST
ELGEYO-MARAKWET,KEIYO NORTH
ELEGEYO-MARAKWET,KEIYO SOUTH
NANDI,MOSOP
NANDI,NANDI HILLS
NANDI,EMGWEN
NANDI,TINDERET
NANDI,ALDAI
NANDI,CHESUMEI
BARINGO,BARINGO CENTRAL
BARINGO,BARINGO NORTH
BARINGO,MOGOTIO
BARINGO,ELDAMA RAVINE
BARINGO,BARINGO SOUTH
BARINGO,TIATY
LAIKIPIA,LAIKIPIA NORTH
NAKURU,SUBUKIA
NAKURU,KURESOI SOUTH
NAKURU,NJORO
NAKURU,NAKURU TOWN EAST
NAKURU,RONGAI
NAKURU,NAIVASHA
NAKURU,GILGIL
NAKURU,NAKURU TOWN WEST
NAKURU,KURESOI NORTH
NAKURU,MOLO
