covid_movement_id,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,covid_movement_date
2570785,-0.14277,0.16011,2020-03-01
2570786,-0.18758,0.09824,2020-03-02
2570787,-0.0728,0.12918,2020-03-03
2570788,-0.02168,0.10025,2020-03-04
2570789,-0.01348,0.11649000000000001,2020-03-05
2570790,0.05057,0.11492999999999999,2020-03-06
2570791,-0.06674,0.12627,2020-03-07
2570792,-0.01824,0.14555,2020-03-08
2570793,-0.018369999999999997,0.14555,2020-03-09
2570794,-0.0108,0.13212000000000002,2020-03-10
2570795,0.07288,0.14428,2020-03-11
2570796,-0.05948,0.13713,2020-03-12
2570797,-0.0017699999999999999,0.13271,2020-03-13
2570798,-0.09579,0.15571,2020-03-14
2570799,-0.029289999999999997,0.15222,2020-03-15
2570800,-0.12917,0.12644,2020-03-16
2570801,-0.0094,0.13835999999999998,2020-03-17
2570802,-0.08044,0.13493,2020-03-18
2570803,-0.19893,0.15659,2020-03-19
2570804,-0.23974,0.1536,2020-03-20
2570805,-0.2741,0.15064,2020-03-21
2570806,-0.27744,0.21921,2020-03-22
2570807,-0.26604,0.1601,2020-03-23
2570808,-0.2939,0.18165,2020-03-24
2570809,-0.15714,0.17363,2020-03-25
2570810,-0.30477,0.19000999999999998,2020-03-26
2570811,-0.31335999999999997,0.20271,2020-03-27
2570812,-0.25974,0.27644,2020-03-28
2570813,-0.34215999999999996,0.27066,2020-03-29
2570814,-0.28209,0.19805,2020-03-30
2570815,-0.37155,0.23044,2020-03-31
2570816,-0.27875,0.22528,2020-04-01
2570817,-0.20309000000000002,0.22465,2020-04-02
2570818,-0.26211999999999996,0.18997,2020-04-03
2570819,-0.26915,0.21939,2020-04-04
2570820,-0.14523,0.22305,2020-04-05
2570821,-0.2774,0.16789,2020-04-06
2570822,-0.31592,0.22641999999999998,2020-04-07
2570823,-0.22591,0.20368,2020-04-08
2570824,-0.3302,0.22276999999999997,2020-04-09
2570825,-0.46276999999999996,0.19567,2020-04-10
2570826,-0.41539,0.22507,2020-04-11
2570827,-0.43293000000000004,0.31429,2020-04-12
2570828,-0.37624,0.24506999999999998,2020-04-13
2570829,-0.33255999999999997,0.22774,2020-04-14
2570830,-0.29746,0.20728000000000002,2020-04-15
2570831,-0.30744,0.25575,2020-04-16
2570832,-0.40321999999999997,0.22723000000000002,2020-04-17
2570833,-0.3507,0.23031999999999997,2020-04-18
2570834,-0.35136,0.26995,2020-04-19
2570835,-0.34863,0.21101,2020-04-20
2570836,-0.34674,0.20414000000000002,2020-04-21
2570837,-0.34868000000000005,0.24131,2020-04-22
2570838,-0.38117,0.20313,2020-04-24
2570839,-0.29915,0.2372,2020-04-25
2570840,-0.31179,0.22419,2020-04-27
2570841,-0.29732,0.2112,2020-04-28
2570842,-0.02282,0.20103,2020-04-29
2570843,-0.32916,0.18037999999999998,2020-04-30
2570844,-0.35008,0.23063000000000003,2020-05-01
2570845,-0.50073,0.23014,2020-05-02
2570846,-0.3337,0.27038,2020-05-03
2570847,-0.24935,0.22591,2020-05-04
2570848,-0.31681,0.20446,2020-05-05
2570849,-0.23822,0.2049,2020-05-06
2570850,-0.24875999999999998,0.19430999999999998,2020-06-06
2570851,-0.33164,0.15322,2020-06-09
2570852,-0.14979,0.19612000000000002,2020-06-10
2570853,-0.10077,0.17519,2020-06-16
2570854,-0.03106,0.1523,2020-06-17
2570855,-0.18139,0.17053,2020-07-01
2570856,0.00316,0.14635,2020-09-16
2570857,-0.11404,0.1518,2020-09-18
2570858,-0.03729,0.12875999999999999,2020-09-29
2570859,0.01525,0.14894000000000002,2020-09-30
2570860,-0.0779,0.1293,2020-10-01
2570861,-0.04924,0.14204,2020-10-08
2570862,0.01699,0.13789,2020-10-09
2570863,0.08736000000000001,0.11037000000000001,2020-10-12
2570864,-0.092,0.14975,2020-10-13
2570865,0.0026,0.15437,2020-10-14
2570866,0.00365,0.13614,2020-10-15
2570867,-0.00103,0.14845999999999998,2020-10-16
2570868,0.04529,0.12043,2020-10-21
2570869,0.04373,0.12996,2020-10-23
2570870,-0.0219,0.11145,2020-10-24
2570871,0.00395,0.1596,2020-10-26
2570872,-0.11872,0.14443,2020-10-27
2570873,-0.07221,0.1205,2020-10-28
2570874,-0.13202,0.15270999999999998,2020-10-29
2570875,-0.01615,0.14443,2020-10-30
2570876,-0.07338,0.14232999999999998,2020-10-31
2570877,0.16471,0.14723,2020-11-01
2570878,0.00277,0.079,2020-11-02
2570879,0.07658,0.10872000000000001,2020-11-03
2570880,0.055389999999999995,0.13037,2020-11-04
2570881,0.09625,0.12655,2020-11-05
2570882,0.04711,0.14184000000000002,2020-11-06
2570883,-0.17044,0.14905,2020-11-10
2570884,-0.053829999999999996,0.13543,2020-11-11
2570885,0.03457,0.12312999999999999,2020-11-12
2570886,-0.04689,0.13298,2020-11-13
2570887,-0.02387,0.11642999999999999,2020-11-17
2570888,-0.03414,0.13152,2020-11-18
2570889,0.08441,0.11012999999999999,2020-11-19
2570890,0.04473,0.12561,2020-11-25
2570891,-0.20067000000000002,0.13249,2020-11-26
2570892,-0.02791,0.10405999999999999,2020-11-27
2570893,-0.14407,0.16518,2020-11-28
2570894,-0.06903,0.15442999999999998,2020-11-29
2570895,-0.0027199999999999998,0.11085,2020-11-30
2570896,-0.06367,0.1116,2020-12-01
2570897,0.01053,0.13132,2020-12-02
2570898,0.01395,0.13638,2020-12-04
2570899,0.1241,0.13152,2020-12-05
2570900,-0.0468,0.16724,2020-12-08
2570901,-0.018269999999999998,0.08692000000000001,2020-12-09
2570902,-0.14457,0.12784,2020-12-10
2570903,0.11765999999999999,0.15435,2020-12-18
2570904,-0.12344000000000001,0.16372,2020-03-01
2570905,0.013590000000000001,0.13087000000000001,2020-03-02
2570906,-0.02122,0.12045,2020-03-03
2570907,0.00603,0.11899000000000001,2020-03-04
2570908,0.05006,0.13438,2020-03-05
