,ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2570785,2020-03-01,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.14277,0.16011,full_february,DAY_OF_WEEK
2570786,2020-03-02,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.18758,0.09824,full_february,DAY_OF_WEEK
2570787,2020-03-03,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.0728,0.12918,full_february,DAY_OF_WEEK
2570788,2020-03-04,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.02168,0.10025,full_february,DAY_OF_WEEK
2570789,2020-03-05,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.01348,0.11649,full_february,DAY_OF_WEEK
2570790,2020-03-06,KEN,GADM,KEN.10.1_1,Kajiado Central,0.05057,0.11493,full_february,DAY_OF_WEEK
2570791,2020-03-07,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.06674,0.12627,full_february,DAY_OF_WEEK
2570792,2020-03-08,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.01824,0.14555,full_february,DAY_OF_WEEK
2570793,2020-03-09,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.01837,0.14555,full_february,DAY_OF_WEEK
2570794,2020-03-10,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.0108,0.13212,full_february,DAY_OF_WEEK
2570795,2020-03-11,KEN,GADM,KEN.10.1_1,Kajiado Central,0.07288,0.14428,full_february,DAY_OF_WEEK
2570796,2020-03-12,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.05948,0.13713,full_february,DAY_OF_WEEK
2570797,2020-03-13,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.00177,0.13271,full_february,DAY_OF_WEEK
2570798,2020-03-14,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.09579,0.15571,full_february,DAY_OF_WEEK
2570799,2020-03-15,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.02929,0.15222,full_february,DAY_OF_WEEK
2570800,2020-03-16,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.12917,0.12644,full_february,DAY_OF_WEEK
2570801,2020-03-17,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.0094,0.13836,full_february,DAY_OF_WEEK
2570802,2020-03-18,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.08044,0.13493,full_february,DAY_OF_WEEK
2570803,2020-03-19,KEN,GADM,KEN.10.1_1,Kajiado Central,-0.19893,0.15659,full_february,DAY_OF_WEEK
