region_name,male_population,female_population,intersex_population,total_population,population_density
Baringo, 336322 , 330428 ,13, 666763 , 61 
Bomet, 434287 , 441379 ,23, 875689 , 346 
Bungoma, 812146 , 858389 ,35, 1670570 , 552 
Busia, 426252 , 467401 ,28, 893681 , 527 
Elgeyo-Marakwet, 227317 , 227151 ,12, 454480 , 150 
Embu, 304208 , 304367 ,24, 608599 , 216 
Garissa, 458975 , 382344 ,34, 841353 , 19 
Homa Bay, 539560 , 592367 ,23, 1131950 , 359 
Isiolo, 139510 , 128483 ,9, 268002 , 11 
Kajiado, 557098 , 560704 ,38, 1117840 , 51 
Kakamega, 897133 , 970406 ,40, 1867579 , 618 
Kericho, 450751 , 451008 ,28, 901777 , 370 
Kiambu, 1187146 , 1230454 ,135, 2417735 , 952 
Kilifi, 704089 , 749673 ,25, 1453787 , 116 
Kirinyaga, 302011 , 308369 ,31, 610411 , 413 
Kisii, 605784 , 661038 ,38, 1266860 , 958 
Kisumu, 560942 , 594609 ,23, 1155574 , 554 
Kitui, 549003 , 587151 ,33, 1136187 , 37 
Kwale, 425121 , 441681 ,18, 866820 , 105 
Laikipia, 259440 , 259102 ,18, 518580 , 54 
Lamu, 76103 , 67813 ,4, 143920 , 23 
Machakos, 710707 , 711191 ,34, 1421932 , 235 
Makueni, 489691 , 497942 ,20, 987653 , 121 
Mandera, 434976 , 432444 ,37, 867457 , 33 
Marsabit, 243548 , 216219 ,18, 459785 , 6 
Meru, 767698 , 777975 ,41, 1545714 , 221 
Migori, 536187 , 580214 ,35, 1116436 , 427 
Mombasa, 610257 , 598046 ,30, 1208333 , 5495 
Murang'a, 523940 , 532669 ,31, 1056640 , 419 
Nairobi, 2192452 , 2204376 ,245, 4397073 , 6247 
Nakuru, 1077272 , 1084835 ,95, 2162202 , 290 
Nandi, 441259 , 444430 ,22, 885711 , 310 
Narok, 579042 , 578805 ,26, 1157873 , 65 
Nyamira, 290907 , 314656 ,13, 605576 , 675 
Nyandarua, 315022 , 323247 ,20, 638289 , 194 
Nyeri, 374288 , 384845 ,31, 759164 , 228 
Samburu, 156774 , 153546 ,7, 310327 , 15 
Siaya, 471669 , 521496 ,18, 993183 , 393 
Taita Taveta, 173337 , 167327 ,7, 340671 , 20 
Tana River, 158550 , 157391 ,2, 315943 , 8 
Tharaka-Nithi, 193764 , 199406 ,7, 393177 , 153 
Trans Nzoia, 489107 , 501206 ,28, 990341 , 397 
Turkana, 478087 , 448868 ,21, 926976 , 14 
Uasin Gishu, 580269 , 582889 ,28, 1163186 , 343 
Vihiga, 283678 , 306323 ,12, 590013 , 1047 
Wajir, 415374 , 365840 ,49, 781263 , 14 
West Pokot, 307013 , 314213 ,15, 621241 , 68 
CHANGAMWE,68761,63121,,131882,7457
JOMVU,83002,80410,,163415,4432
KISAUNI,146748,145176,,291930,3328
LIKONI,126962,123392,,250358,6187
MVITA,75565,78601,,154171,10543
NYALI,109219,107346,,216577,9610
KINANGO,45413,48806,,94220,58
LUNGA LUNGA,97174,101245,,198423,72
MATUGA,95831,98419,,194252,188
MSAMBWENI,89206,88480,,177690,432
SAMBURU,97497,104731,,202235,83
CHONYI,29527,32807,,62335,324
GANZE,66921,76981,,143906,45
KALOLENI,92614,101063,,193682,274
KAUMA,10965,11673,,22638,125
KILIFI NORTH,86986,91836,,178824,676
KILIFI SOUTH,101852,104897,,206753,712
MAGARINI,93302,98308,,191610,37
MALINDI,163351,169866,,333226,147
RABAI,58571,62242,,120813,581
TANA DELTA,55716,54924,,110640,7
TANA NORTH,59123,57632,,116757,9
TANA RIVER,43711,44835,,88546,10
LAMU EAST,11675,10583,,22258,10
LAMU WEST,64428,57230,,121662,31
MWATATE,41426,40231,,81659,30
TAITA,28386,27573,,55959,117
TAVETA,47410,43812,,91222,14
VOI,56115,55711,,111831,15
BALAMBALA,20277,11979,,32257,9
DADAAB,99059,86185,,185252,29
FAFI,72617,61413,,134040,9
GARISSA,83460,80449,,163914,49
HULUGHO,78081,55898,,133984,17
IJARA,80458,61129,,141591,58
LAGDERA,25023,25291,,50315,8
BUNA,26796,23088,,49886,13
ELDAS,45028,44069,,89104,20
HABASWEIN,94613,79505,,174134,16
