region_name,covid_movement_id
Kajiado Central,2570785
Kajiado Central,2570786
Kajiado Central,2570787
Kajiado Central,2570788
Kajiado Central,2570789
Kajiado Central,2570790
Kajiado Central,2570791
Kajiado Central,2570792
Kajiado Central,2570793
Kajiado Central,2570794
Kajiado Central,2570795
Kajiado Central,2570796
Kajiado Central,2570797
Kajiado Central,2570798
Kajiado Central,2570799
Kajiado Central,2570800
Kajiado Central,2570801
Kajiado Central,2570802
Kajiado Central,2570803
Kajiado Central,2570804
Kajiado Central,2570805
Kajiado Central,2570806
Kajiado Central,2570807
Kajiado Central,2570808
Kajiado Central,2570809
Kajiado Central,2570810
Kajiado Central,2570811
Kajiado Central,2570812
Kajiado Central,2570813
Kajiado Central,2570814
Kajiado Central,2570815
Kajiado Central,2570816
Kajiado Central,2570817
Kajiado Central,2570818
Kajiado Central,2570819
Kajiado Central,2570820
Kajiado Central,2570821
Kajiado Central,2570822
Kajiado Central,2570823
Kajiado Central,2570824
Kajiado Central,2570825
Kajiado Central,2570826
Kajiado Central,2570827
Kajiado Central,2570828
Kajiado Central,2570829
Kajiado Central,2570830
Kajiado Central,2570831
Kajiado Central,2570832
Kajiado Central,2570833
Kajiado Central,2570834
Kajiado Central,2570835
Kajiado Central,2570836
Kajiado Central,2570837
Kajiado Central,2570838
Kajiado Central,2570839
Kajiado Central,2570840
Kajiado Central,2570841
Kajiado Central,2570842
Kajiado Central,2570843
Kajiado Central,2570844
Kajiado Central,2570845
Kajiado Central,2570846
Kajiado Central,2570847
Kajiado Central,2570848
Kajiado Central,2570849
Kajiado Central,2570850
Kajiado Central,2570851
Kajiado Central,2570852
Kajiado Central,2570853
Kajiado Central,2570854
Kajiado Central,2570855
Kajiado Central,2570856
Kajiado Central,2570857
Kajiado Central,2570858
Kajiado Central,2570859
Kajiado Central,2570860
Kajiado Central,2570861
Kajiado Central,2570862
Kajiado Central,2570863
Kajiado Central,2570864
Kajiado Central,2570865
Kajiado Central,2570866
Kajiado Central,2570867
Kajiado Central,2570868
Kajiado Central,2570869
Kajiado Central,2570870
Kajiado Central,2570871
Kajiado Central,2570872
Kajiado Central,2570873
Kajiado Central,2570874
Kajiado Central,2570875
Kajiado Central,2570876
Kajiado Central,2570877
Kajiado Central,2570878
Kajiado Central,2570879
Kajiado Central,2570880
Kajiado Central,2570881
Kajiado Central,2570882
Kajiado Central,2570883
Kajiado Central,2570884
Kajiado Central,2570885
Kajiado Central,2570886
Kajiado Central,2570887
Kajiado Central,2570888
Kajiado Central,2570889
Kajiado Central,2570890
Kajiado Central,2570891
Kajiado Central,2570892
Kajiado Central,2570893
Kajiado Central,2570894
Kajiado Central,2570895
Kajiado Central,2570896
Kajiado Central,2570897
Kajiado Central,2570898
Kajiado Central,2570899
Kajiado Central,2570900
Kajiado Central,2570901
Kajiado Central,2570902
Kajiado Central,2570903
Kajiado East,2570904
Kajiado East,2570905
Kajiado East,2570906
Kajiado East,2570907
Kajiado East,2570908
Kajiado East,2570909
Kajiado East,2570910
Kajiado East,2570911
Kajiado East,2570912
Kajiado East,2570913
Kajiado East,2570914
Kajiado East,2570915
Kajiado East,2570916
Kajiado East,2570917
Kajiado East,2570918
Kajiado East,2570919
Kajiado East,2570920
Kajiado East,2570921
Kajiado East,2570922
Kajiado East,2570923
Kajiado East,2570924
Kajiado East,2570925
Kajiado East,2570926
Kajiado East,2570927
Kajiado East,2570928
Kajiado East,2570929
Kajiado East,2570930
Kajiado East,2570931
Kajiado East,2570932
Kajiado East,2570933
Kajiado East,2570934
Kajiado East,2570935
Kajiado East,2570936
Kajiado East,2570937
Kajiado East,2570938
Kajiado East,2570939
Kajiado East,2570940
Kajiado East,2570941
Kajiado East,2570942
Kajiado East,2570943
Kajiado East,2570944
Kajiado East,2570945
Kajiado East,2570946
Kajiado East,2570947
Kajiado East,2570948
Kajiado East,2570949
Kajiado East,2570950
Kajiado East,2570951
Kajiado East,2570952
Kajiado East,2570953
Kajiado East,2570954
Kajiado East,2570955
Kajiado East,2570956
Kajiado East,2570957
Kajiado East,2570958
Kajiado East,2570959
Kajiado East,2570960
Kajiado East,2570961
Kajiado East,2570962
Kajiado East,2570963
Kajiado East,2570964
Kajiado East,2570965
Kajiado East,2570966
Kajiado East,2570967
Kajiado East,2570968
Kajiado East,2570969
Kajiado East,2570970
Kajiado East,2570971
Kajiado East,2570972
Kajiado East,2570973
Kajiado East,2570974
Kajiado East,2570975
Kajiado East,2570976
Kajiado East,2570977
Kajiado East,2570978
Kajiado East,2570979
Kajiado East,2570980
Kajiado East,2570981
Kajiado East,2570982
Kajiado East,2570983
Kajiado East,2570984
Kajiado East,2570985
Kajiado East,2570986
Kajiado East,2570987
Kajiado East,2570988
Kajiado East,2570989
Kajiado East,2570990
Kajiado East,2570991
Kajiado East,2570992
Kajiado East,2570993
Kajiado East,2570994
Kajiado East,2570995
Kajiado East,2570996
Kajiado East,2570997
Kajiado East,2570998
Kajiado East,2570999
Kajiado East,2571000
Kajiado East,2571001
Kajiado East,2571002
Kajiado East,2571003
Kajiado East,2571004
Kajiado East,2571005
Kajiado East,2571006
Kajiado East,2571007
Kajiado East,2571008
Kajiado East,2571009
Kajiado East,2571010
Kajiado East,2571011
Kajiado East,2571012
Kajiado East,2571013
Kajiado East,2571014
Kajiado East,2571015
Kajiado East,2571016
Kajiado East,2571017
Kajiado East,2571018
Kajiado East,2571019
Kajiado East,2571020
Kajiado East,2571021
Kajiado East,2571022
Kajiado East,2571023
Kajiado East,2571024
Kajiado East,2571025
Kajiado East,2571026
Kajiado East,2571027
Kajiado East,2571028
Kajiado East,2571029
Kajiado East,2571030
Kajiado East,2571031
Kajiado East,2571032
Kajiado East,2571033
Kajiado East,2571034
Kajiado East,2571035
Kajiado East,2571036
Kajiado East,2571037
Kajiado East,2571038
Kajiado East,2571039
Kajiado East,2571040
Kajiado East,2571041
Kajiado East,2571042
Kajiado East,2571043
Kajiado East,2571044
Kajiado East,2571045
Kajiado East,2571046
Kajiado East,2571047
Kajiado East,2571048
Kajiado East,2571049
Kajiado East,2571050
Kajiado East,2571051
Kajiado East,2571052
Kajiado East,2571053
Kajiado East,2571054
Kajiado East,2571055
Kajiado East,2571056
Kajiado East,2571057
Kajiado East,2571058
Kajiado East,2571059
Kajiado East,2571060
Kajiado East,2571061
Kajiado East,2571062
Kajiado East,2571063
Kajiado East,2571064
Kajiado East,2571065
Kajiado East,2571066
Kajiado East,2571067
Kajiado East,2571068
Kajiado East,2571069
Kajiado East,2571070
Kajiado East,2571071
Kajiado East,2571072
Kajiado East,2571073
Kajiado East,2571074
Kajiado East,2571075
Kajiado East,2571076
Kajiado East,2571077
Kajiado East,2571078
Kajiado East,2571079
Kajiado East,2571080
Kajiado East,2571081
Kajiado East,2571082
Kajiado East,2571083
Kajiado East,2571084
Kajiado East,2571085
Kajiado East,2571086
Kajiado East,2571087
Kajiado East,2571088
Kajiado East,2571089
Kajiado East,2571090
Kajiado East,2571091
Kajiado East,2571092
Kajiado East,2571093
Kajiado East,2571094
Kajiado East,2571095
Kajiado East,2571096
Kajiado East,2571097
Kajiado East,2571098
Kajiado East,2571099
Kajiado East,2571100
Kajiado East,2571101
Kajiado East,2571102
Kajiado East,2571103
Kajiado East,2571104
Kajiado East,2571105
Kajiado East,2571106
Kajiado East,2571107
Kajiado East,2571108
Kajiado East,2571109
Kajiado East,2571110
Kajiado East,2571111
Kajiado East,2571112
Kajiado East,2571113
Kajiado East,2571114
Kajiado East,2571115
Kajiado East,2571116
Kajiado East,2571117
Kajiado East,2571118
Kajiado East,2571119
Kajiado East,2571120
Kajiado East,2571121
Kajiado East,2571122
Kajiado East,2571123
Kajiado East,2571124
Kajiado East,2571125
Kajiado East,2571126
Kajiado East,2571127
Kajiado East,2571128
Kajiado East,2571129
Kajiado East,2571130
Kajiado East,2571131
Kajiado East,2571132
Kajiado East,2571133
Kajiado East,2571134
Kajiado East,2571135
Kajiado East,2571136
Kajiado East,2571137
Kajiado East,2571138
Kajiado East,2571139
Kajiado East,2571140
Kajiado East,2571141
Kajiado East,2571142
Kajiado East,2571143
Kajiado East,2571144
Kajiado East,2571145
Kajiado East,2571146
Kajiado East,2571147
Kajiado East,2571148
Kajiado East,2571149
Kajiado East,2571150
Kajiado East,2571151
Kajiado East,2571152
Kajiado East,2571153
Kajiado East,2571154
Kajiado East,2571155
Kajiado East,2571156
Kajiado East,2571157
Kajiado East,2571158
Kajiado East,2571159
Kajiado East,2571160
Kajiado East,2571161
Kajiado East,2571162
Kajiado East,2571163
Kajiado East,2571164
Kajiado East,2571165
Kajiado East,2571166
Kajiado East,2571167
Kajiado East,2571168
Kajiado East,2571169
Kajiado East,2571170
Kajiado East,2571171
Kajiado East,2571172
Kajiado East,2571173
Kajiado East,2571174
Kajiado East,2571175
Kajiado East,2571176
Kajiado East,2571177
Kajiado East,2571178
Kajiado East,2571179
Kajiado East,2571180
Kajiado East,2571181
Kajiado East,2571182
Kajiado East,2571183
Kajiado East,2571184
Kajiado East,2571185
Kajiado East,2571186
Kajiado East,2571187
Kajiado East,2571188
Kajiado East,2571189
Kajiado East,2571190
Kajiado East,2571191
Kajiado East,2571192
Kajiado East,2571193
Kajiado East,2571194
Kajiado East,2571195
Kajiado East,2571196
Kajiado East,2571197
Kajiado East,2571198
Kajiado East,2571199
Kajiado East,2571200
Kajiado East,2571201
Kajiado East,2571202
Kajiado East,2571203
Kajiado East,2571204
Kajiado East,2571205
Kajiado East,2571206
Kajiado East,2571207
Kajiado East,2571208
Kajiado East,2571209
Kajiado North,2571210
Kajiado North,2571211
Kajiado North,2571212
Kajiado North,2571213
Kajiado North,2571214
Kajiado North,2571215
Kajiado North,2571216
Kajiado North,2571217
Kajiado North,2571218
Kajiado North,2571219
Kajiado North,2571220
Kajiado North,2571221
Kajiado North,2571222
Kajiado North,2571223
Kajiado North,2571224
Kajiado North,2571225
Kajiado North,2571226
Kajiado North,2571227
Kajiado North,2571228
Kajiado North,2571229
Kajiado North,2571230
Kajiado North,2571231
Kajiado North,2571232
Kajiado North,2571233
Kajiado North,2571234
Kajiado North,2571235
Kajiado North,2571236
Kajiado North,2571237
Kajiado North,2571238
Kajiado North,2571239
Kajiado North,2571240
Kajiado North,2571241
Kajiado North,2571242
Kajiado North,2571243
Kajiado North,2571244
Kajiado North,2571245
Kajiado North,2571246
Kajiado North,2571247
Kajiado North,2571248
Kajiado North,2571249
Kajiado North,2571250
Kajiado North,2571251
Kajiado North,2571252
Kajiado North,2571253
Kajiado North,2571254
Kajiado North,2571255
Kajiado North,2571256
Kajiado North,2571257
Kajiado North,2571258
Kajiado North,2571259
Kajiado North,2571260
Kajiado North,2571261
Kajiado North,2571262
Kajiado North,2571263
Kajiado North,2571264
Kajiado North,2571265
Kajiado North,2571266
Kajiado North,2571267
Kajiado North,2571268
Kajiado North,2571269
Kajiado North,2571270
Kajiado North,2571271
Kajiado North,2571272
Kajiado North,2571273
Kajiado North,2571274
Kajiado North,2571275
Kajiado North,2571276
Kajiado North,2571277
Kajiado North,2571278
Kajiado North,2571279
Kajiado North,2571280
Kajiado North,2571281
Kajiado North,2571282
Kajiado North,2571283
Kajiado North,2571284
Kajiado North,2571285
Kajiado North,2571286
Kajiado North,2571287
Kajiado North,2571288
Kajiado North,2571289
Kajiado North,2571290
Kajiado North,2571291
Kajiado North,2571292
Kajiado North,2571293
Kajiado North,2571294
Kajiado North,2571295
Kajiado North,2571296
Kajiado North,2571297
Kajiado North,2571298
Kajiado North,2571299
Kajiado North,2571300
Kajiado North,2571301
Kajiado North,2571302
Kajiado North,2571303
